wechat_is_phone,alipay_is_phone,wechat_is_email,alipay_is_email,has_first_tel,has_second_tel,has_third_tel,baidu_phone_title_times,baidu_phone_content_times,baidu_phone_page_times,baidu_phone_pages_count,baidu_first_tel_title_times,baidu_first_tel_content_times,baidu_first_tel_page_times,baidu_first_tel_pages_count,baidu_second_tel_title_times,baidu_second_tel_content_times,baidu_second_tel_page_times,baidu_second_tel_pages_count,has_baidu_phone_user_mark_times,has_baidu_first_tel_user_mark_times,has_baidu_second_tel_user_mark_times,s_qq_first_1,s_qq_first_2,s_qq_first_3,s_qq_first_4,s_qq_first_5,s_qq_first_6,s_qq_first_7,s_qq_first_8,s_qq_first_9,qq_len_6.0,qq_len_7.0,qq_len_8.0,qq_len_9.0,qq_len_10.0,qq_len_11.0,qq_len_12.0,qq_len_15.0
1,1,0,0,1,1,0,2,9,11,4,1.0,4.0,5.0,7.0,1.0,8.0,9.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,1,1,1,0,1,5,6,2,1.0,6.0,7.0,5.0,1.0,9.0,10.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,2,3,2,2.0,6.0,8.0,3.0,1.0,5.0,6.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,7,8,2,1.0,7.0,8.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,5,6,3,1.0,0.0,1.0,2.0,1.0,8.0,9.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,3,4,3,1.0,2.0,3.0,2.0,1.0,7.0,8.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,2,3,2,1.0,3.0,4.0,2.0,1.0,6.0,7.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,5,1.0,7.0,8.0,2.0,1.0,6.0,7.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,3,4,3,1.0,5.0,6.0,2.0,1.0,6.0,7.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,2,3,3,1.0,2.0,3.0,2.0,1.0,4.0,5.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,0,1,6,7,3,1.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,9,10,2,1.0,6.0,7.0,3.0,1.0,9.0,10.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,9,10,2,2.0,6.0,8.0,3.0,1.0,2.0,3.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,7,8,2,1.0,5.0,6.0,3.0,1.0,7.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,5,6,3,1.0,7.0,8.0,3.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,3,4,3,1.0,2.0,3.0,3.0,1.0,6.0,7.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,4,5,3,1.0,2.0,3.0,2.0,1.0,6.0,7.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,2,3,3,1.0,7.0,8.0,2.0,1.0,5.0,6.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,1,9,10,4,1.0,7.0,8.0,3.0,1.0,9.0,10.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,3,4,3,1.0,7.0,8.0,2.0,1.0,5.0,6.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,8,9,2,1.0,8.0,9.0,4.0,1.0,3.0,4.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,1,0,3,6,9,3,1.0,4.0,5.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,3,1.0,5.0,6.0,5.0,1.0,7.0,8.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,5,6,3,1.0,9.0,10.0,3.0,1.0,7.0,8.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,5,6,2,1.0,8.0,9.0,2.0,1.0,6.0,7.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,8,9,4,1.0,2.0,3.0,2.0,1.0,7.0,8.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,4,5,6,1.0,8.0,9.0,2.0,1.0,7.0,8.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,1,0,1,2,1.0,8.0,9.0,3.0,1.0,8.0,9.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,1,0,1,7,8,2,1.0,7.0,8.0,2.0,1.0,5.0,6.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,4,5,2,1.0,8.0,9.0,1.0,0.0,7.0,7.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,8,9,1,1.0,9.0,10.0,2.0,1.0,3.0,4.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,5,6,3,1.0,8.0,9.0,2.0,1.0,7.0,8.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,6,1.0,7.0,8.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,9,10,3,0.0,9.0,9.0,2.0,1.0,5.0,6.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,3,2.0,6.0,8.0,5.0,1.0,9.0,10.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,5,6,5,1.0,9.0,10.0,1.0,1.0,9.0,10.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,8,9,2,1.0,7.0,8.0,2.0,1.0,6.0,7.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,2,3,2,1.0,6.0,7.0,1.0,1.0,6.0,7.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,6,7,2,1.0,9.0,10.0,2.0,1.0,7.0,8.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,1,1,0,1,7,8,2,3.0,9.0,12.0,2.0,1.0,2.0,3.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,4,5,2,1.0,5.0,6.0,3.0,1.0,7.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,2,3,3,1.0,6.0,7.0,2.0,1.0,6.0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,8,9,2,1.0,1.0,2.0,2.0,1.0,8.0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,4,1.0,7.0,8.0,3.0,1.0,8.0,9.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,1,3,4,3,1.0,6.0,7.0,4.0,1.0,3.0,4.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,6,7,3,1.0,6.0,7.0,4.0,1.0,8.0,9.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,8,9,2,1.0,5.0,6.0,2.0,1.0,6.0,7.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,8,9,3,1.0,6.0,7.0,2.0,1.0,6.0,7.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,1,8,9,2,1.0,9.0,10.0,2.0,1.0,1.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,7,8,4,1.0,7.0,8.0,2.0,1.0,11.0,12.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,2,8,10,3,1.0,1.0,2.0,2.0,1.0,7.0,8.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,0,1,5,6,3,1.0,1.0,2.0,1.0,1.0,6.0,7.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,1,0,1,2,3,3,1.0,8.0,9.0,2.0,3.0,10.0,13.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,9,10,2,1.0,7.0,8.0,2.0,1.0,9.0,10.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,4,5,2,1.0,7.0,8.0,2.0,1.0,9.0,10.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,6,7,2,1.0,5.0,6.0,4.0,1.0,8.0,9.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,3,4,3,1.0,8.0,9.0,2.0,1.0,7.0,8.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,8,9,3,1.0,8.0,9.0,3.0,0.0,7.0,7.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,0,1,6,7,2,1.0,9.0,10.0,3.0,1.0,1.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,1,7,8,2,1.0,8.0,9.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,3,1.0,6.0,7.0,5.0,1.0,7.0,8.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,0,2,9,11,9,1.0,8.0,9.0,3.0,1.0,4.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,6,7,3,1.0,7.0,8.0,2.0,1.0,9.0,10.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,9,10,2,1.0,8.0,9.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,9,10,2,1.0,5.0,6.0,3.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,3,1.0,3.0,4.0,2.0,1.0,8.0,9.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,9,10,3,1.0,9.0,10.0,3.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,6,7,3,1.0,2.0,3.0,3.0,1.0,4.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,9,10,3,1.0,7.0,8.0,3.0,1.0,8.0,9.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,6,7,2,1.0,8.0,9.0,2.0,1.0,7.0,8.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,6,7,2,1.0,8.0,9.0,4.0,1.0,8.0,9.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,6,7,4,1.0,9.0,10.0,1.0,1.0,6.0,7.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,7,8,2,0.0,9.0,9.0,2.0,1.0,8.0,9.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,2,3,3,1.0,8.0,9.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,9,10,7,1.0,7.0,8.0,4.0,1.0,7.0,8.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,6,7,3,1.0,4.0,5.0,3.0,1.0,8.0,9.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,5,6,2,1.0,3.0,4.0,2.0,1.0,7.0,8.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,9,10,2,1.0,9.0,10.0,2.0,1.0,9.0,10.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,2,1.0,8.0,9.0,3.0,1.0,6.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,1,1,0,1,6,7,2,1.0,8.0,9.0,2.0,1.0,6.0,7.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,3,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,9,10,3,1.0,3.0,4.0,6.0,1.0,6.0,7.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,6,7,2,1.0,6.0,7.0,2.0,1.0,4.0,5.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,8,9,3,1.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,3,1.0,4.0,5.0,2.0,1.0,7.0,8.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,9,9,3,1.0,7.0,8.0,4.0,3.0,6.0,9.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,4,5,4,1.0,9.0,10.0,2.0,1.0,7.0,8.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,8,9,3,1.0,8.0,9.0,3.0,1.0,3.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,0,1,8,9,2,1.0,8.0,9.0,2.0,0.0,6.0,6.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,9,10,2,1.0,8.0,9.0,2.0,0.0,9.0,9.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,3,4,1,1.0,6.0,7.0,2.0,1.0,8.0,9.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,6,7,2,1.0,7.0,8.0,3.0,1.0,2.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,8,9,2,1.0,8.0,9.0,2.0,1.0,6.0,7.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,1,0,1,3,4,2,1.0,6.0,7.0,4.0,1.0,6.0,7.0,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,1,2,4,1.0,1.0,2.0,1.0,1.0,6.0,7.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,6,7,3,1.0,2.0,3.0,2.0,1.0,6.0,7.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,7,8,2,1.0,7.0,8.0,2.0,1.0,6.0,7.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,1,5,6,1,1.0,8.0,9.0,2.0,1.0,6.0,7.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,2,1.0,7.0,8.0,4.0,1.0,6.0,7.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,4,5,2,1.0,4.0,5.0,2.0,0.0,6.0,6.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,1,3,4,2,1.0,1.0,2.0,2.0,1.0,7.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,6,7,7,1.0,5.0,6.0,3.0,1.0,3.0,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,9,10,4,1.0,6.0,7.0,3.0,1.0,9.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,1,1,1,1,8,9,2,0.0,7.0,7.0,3.0,1.0,8.0,9.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,6,7,3,1.0,1.0,2.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,6,7,3,1.0,7.0,8.0,2.0,1.0,5.0,6.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,2,2,2,1.0,7.0,8.0,3.0,1.0,7.0,8.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,3,1.0,6.0,7.0,3.0,1.0,3.0,4.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,5,6,2,1.0,0.0,1.0,4.0,1.0,7.0,8.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,7,8,4,1.0,5.0,6.0,3.0,1.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,7,8,2,1.0,3.0,4.0,3.0,1.0,4.0,5.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
